,投資活動によるキャッシュ・フロー,-82,-68,,,
財務活動によるキャッシュ・フロー,長期借入金の返済による支出,-90,-22,,,
,新株予約権の行使による株式の発行による収入,21,26,,,
,自己株式の取得による支出,0,-10,,,
,配当金の支払額,-275,-294,,,
,財務活動によるキャッシュ・フロー,-344,-301,,,
,現金及び現金同等物に係る換算差額,-,0,,,
,現金及び現金同等物の増減額（-は減少）,323,664,,,
,現金及び現金同等物の期首残高,1725,2048,,,
,合併に伴う現金及び現金同等物の増加額,-,1378,,,
,現金及び現金同等物の期末残高,2048,4089,,,
